indication,phase_label,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
Metastatic Melanoma,PHASE1,5,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Multiple Myeloma,PHASE1,25,17,10.0,0.5882352941176471,0.538235294117647,0.6382352941176471,False
Esophageal Cancer,PHASE2,14,8,5.0,0.625,0.575,0.675,False
Acute Lymphoblastic Leukemia,PHASE1,11,7,4.0,0.5714285714285714,0.5214285714285714,0.6214285714285714,False
Prostate Cancer,PHASE1,14,6,1.0,0.16666666666666666,0.11666666666666665,0.21666666666666667,False
Non-Small Cell Lung Cancer,PHASE3,4,2,1.0,0.5,0.45,0.55,False
Iron-Deficiency Anemia,PHASE3,3,2,2.0,1.0,0.95,1.05,False
Liver Cancer,PHASE3,6,2,2.0,1.0,0.95,1.05,False
Skin Squamous Cell Carcinoma,PHASE2,1,0,0.0,,,,True
Hepatocellular Carcinoma,PHASE4,2,2,2.0,1.0,0.95,1.05,False
WHO Grade 3 Glioma,PHASE1,3,0,0.0,,,,True
Anaplastic Oligodendroglioma,PHASE1,2,0,0.0,,,,True
Muscle Invasive Bladder Cancer,PHASE1,2,1,1.0,1.0,0.95,1.05,False
Furmonertinib,PHASE2,1,0,0.0,,,,True
Graft Versus Host Disease,PHASE3,5,3,3.0,1.0,0.95,1.05,False
Rhabdomyosarcoma,PHASE1,2,1,1.0,1.0,0.95,1.05,False
Non-Small Cell Lung Cancer,UNKNOWN,2,1,1.0,1.0,0.95,1.05,False
High-risk Leukemias,PHASE2,1,0,0.0,,,,True
Thyroid Gland Anaplastic Carcinoma,PHASE2,2,0,0.0,,,,True
Surgery,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Bladder Cancer,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Liver Cancer,UNKNOWN,4,3,0.0,0.0,-0.05,0.05,False
Brain Metastasis,PHASE3,2,1,0.0,0.0,-0.05,0.05,False
Conditioning,PHASE3,1,0,0.0,,,,True
Primary Hyperparathyroidism,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Kidney Wilms Tumor,PHASE3,2,2,2.0,1.0,0.95,1.05,False
Carcinoma of Unknown Primary,PHASE1,3,2,1.0,0.5,0.45,0.55,False
Brain Metastasis,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
HLA-A*0201 Positive Cells Present,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Cancer,PHASE1,12,11,8.0,0.7272727272727273,0.6772727272727272,0.7772727272727273,False
Surgical Resection,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Acute Megakaryoblastic Leukemia,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
PI3K Pathway Inhibition,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Primary Immunodeficiency,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Myeloid Neoplasm,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Ewing Sarcoma,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
Primary Cutaneous B-Cell Non-Hodgkin Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Nodal Marginal Zone Lymphoma,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Anaplastic Large Cell Lymphoma,PHASE4,1,0,0.0,,,,True
Indocyanine Green,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Dedifferentiated Liposarcoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Adenocarcinoma of the Ovaries,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Ovarian Germ Cell Tumor,PHASE2,4,4,4.0,1.0,0.95,1.05,False
Chronic Renal Failure,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Bladder Cancer,PHASE3,3,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Congenital Amegakaryocytic Thrombocytopenia,PHASE1,1,1,1.0,1.0,0.95,1.05,False
PTEN Gene Mutation,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Biliary Tract Cancer,PHASE1,1,0,0.0,,,,True
T-Cell Large Granular Lymphocyte Leukemia,PHASE1,2,2,1.0,0.5,0.45,0.55,False
Splenic Marginal Zone Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Skin Basal Cell Carcinoma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Acute Myeloid Leukemia,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Ovarian Cancer,PHASE1,12,11,9.0,0.8181818181818182,0.7681818181818182,0.8681818181818183,False
Osteosarcoma,PHASE3,1,0,0.0,,,,True
Rectal Carcinoma,PHASE3,1,0,0.0,,,,True
Gastric Cancer,PHASE1,13,7,4.0,0.5714285714285714,0.5214285714285714,0.6214285714285714,False
Triple-Negative Breast Cancer,PHASE2,7,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Solid Tumors,EARLY_PHASE1,3,0,0.0,,,,True
Head and Neck Squamous Cell Carcinoma,PHASE1,12,7,2.0,0.2857142857142857,0.2357142857142857,0.3357142857142857,False
High-Grade Glioma,EARLY_PHASE1,2,0,0.0,,,,True
