phase_label,start_year,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
UNKNOWN,2025.0,1,0,0.0,,,,True
EARLY_PHASE1,2019.0,1,0,0.0,,,,True
PHASE4,2012.0,1,0,0.0,,,,True
PHASE1,2007.0,9,9,5.0,0.5555555555555556,0.5055555555555555,0.6055555555555556,False
PHASE3,2005.0,6,6,4.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
PHASE1,1999.0,2,1,1.0,1.0,0.95,1.05,True
PHASE1,1998.0,3,3,3.0,1.0,0.95,1.05,True
PHASE3,1997.0,2,2,2.0,1.0,0.95,1.05,True
PHASE3,2024.0,6,0,0.0,,,,True
PHASE3,2023.0,12,0,0.0,,,,True
PHASE1,2021.0,25,6,3.0,0.5,0.45,0.55,False
EARLY_PHASE1,2020.0,1,0,0.0,,,,True
UNKNOWN,2020.0,4,3,3.0,1.0,0.95,1.05,True
PHASE1,2011.0,8,8,7.0,0.875,0.825,0.925,False
PHASE4,2010.0,1,1,1.0,1.0,0.95,1.05,True
PHASE1,2009.0,17,14,11.0,0.7857142857142857,0.7357142857142857,0.8357142857142857,False
PHASE2,2003.0,16,15,13.0,0.8666666666666667,0.8166666666666667,0.9166666666666667,False
PHASE3,2000.0,3,3,3.0,1.0,0.95,1.05,True
UNKNOWN,2021.0,4,1,0.0,0.0,-0.05,0.05,True
PHASE1,2020.0,20,13,6.0,0.46153846153846156,0.4115384615384616,0.5115384615384616,False
PHASE3,2012.0,5,3,0.0,0.0,-0.05,0.05,True
UNKNOWN,2011.0,1,1,1.0,1.0,0.95,1.05,True
UNKNOWN,2009.0,1,1,1.0,1.0,0.95,1.05,True
PHASE4,2005.0,2,1,1.0,1.0,0.95,1.05,True
PHASE2,1995.0,1,1,1.0,1.0,0.95,1.05,True
PHASE2,2025.0,18,3,0.0,0.0,-0.05,0.05,True
PHASE2,2019.0,24,8,4.0,0.5,0.45,0.55,False
PHASE4,2015.0,1,1,1.0,1.0,0.95,1.05,True
PHASE1,2013.0,11,11,7.0,0.6363636363636364,0.5863636363636363,0.6863636363636364,False
PHASE3,2008.0,2,1,1.0,1.0,0.95,1.05,True
PHASE4,2001.0,1,1,1.0,1.0,0.95,1.05,True
PHASE2,2026.0,1,0,0.0,,,,True
PHASE2,2022.0,31,8,4.0,0.5,0.45,0.55,False
PHASE2,2018.0,22,11,6.0,0.5454545454545454,0.4954545454545454,0.5954545454545455,False
PHASE2,2017.0,21,12,10.0,0.8333333333333334,0.7833333333333333,0.8833333333333334,False
PHASE2,2016.0,23,14,12.0,0.8571428571428571,0.807142857142857,0.9071428571428571,False
PHASE3,2007.0,5,4,4.0,1.0,0.95,1.05,True
UNKNOWN,2006.0,1,1,0.0,0.0,-0.05,0.05,True
PHASE1,2005.0,19,19,16.0,0.8421052631578947,0.7921052631578946,0.8921052631578947,False
PHASE1,2002.0,3,3,3.0,1.0,0.95,1.05,True
PHASE3,1999.0,1,1,0.0,0.0,-0.05,0.05,True
PHASE3,1998.0,4,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,True
PHASE1,1997.0,2,2,2.0,1.0,0.95,1.05,True
EARLY_PHASE1,2022.0,1,1,0.0,0.0,-0.05,0.05,True
UNKNOWN,2022.0,1,0,0.0,,,,True
EARLY_PHASE1,2018.0,3,1,1.0,1.0,0.95,1.05,True
UNKNOWN,2018.0,2,1,1.0,1.0,0.95,1.05,True
UNKNOWN,2017.0,1,0,0.0,,,,True
UNKNOWN,2016.0,3,2,1.0,0.5,0.45,0.55,True
EARLY_PHASE1,2016.0,1,1,1.0,1.0,0.95,1.05,True
PHASE3,2013.0,2,2,0.0,0.0,-0.05,0.05,True
PHASE2,2010.0,21,17,12.0,0.7058823529411765,0.6558823529411765,0.7558823529411766,False
PHASE1,2008.0,15,14,9.0,0.6428571428571429,0.5928571428571429,0.692857142857143,False
PHASE2,2006.0,21,20,13.0,0.65,0.6,0.7000000000000001,False
PHASE4,2003.0,2,2,2.0,1.0,0.95,1.05,True
UNKNOWN,2015.0,1,1,1.0,1.0,0.95,1.05,True
EARLY_PHASE1,2015.0,1,1,1.0,1.0,0.95,1.05,True
UNKNOWN,2014.0,3,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,True
PHASE2,2012.0,19,16,9.0,0.5625,0.5125,0.6125,False
UNKNOWN,2004.0,1,1,1.0,1.0,0.95,1.05,True
PHASE1,2024.0,10,2,0.0,0.0,-0.05,0.05,True
PHASE1,2023.0,29,7,2.0,0.2857142857142857,0.2357142857142857,0.3357142857142857,False
PHASE3,2021.0,5,2,2.0,1.0,0.95,1.05,True
PHASE2,2015.0,20,16,7.0,0.4375,0.3875,0.4875,False
PHASE2,2014.0,25,19,15.0,0.7894736842105263,0.7394736842105263,0.8394736842105264,False
UNKNOWN,2012.0,4,4,4.0,1.0,0.95,1.05,True
